sentence,episode,season,character
"What are you two doing? Umm, she's been running non-stop all this time, so So you're trying to do something ""nice,"" huh? Huh?! Did you do it for Potato Girl's sake? Was what you gained worth the effort it took? Well, whatever.",3,1,
Let's just get her to her bed now.,3,1,
"Are you trying to be nice, too? I'm doing this so that she'll owe me.",3,1,
Her stupidity will come in very handy.,3,1,
"We'll begin by determining your aptitude! If you can't do this, you're not even fit to be bait! You'll be sent off to the fields! These are only just the bare fundamentals.",3,1,
"Still, you can determine a person's knack for omni-mobility at this stage.",3,1,
Observe.,3,1,
Completely steady.,3,1,
She knows exactly what to do and how to do it.,3,1,
That's what aptitude is all about.,3,1,
It looks like we have many talented cadets this year.,3,1,
"Umm, what about him? Now that's the very definition of aptitude.",3,1,
Some people might have plenty of motivation yet turn out to be less-than-capable.,3,1,
"What are you doing, Eren Jaeger?! Straighten yourself up! What the?! How do I work this thing?! This can't be for real Just follow the basics and you'll be able to do it.",3,1,
Don't think about being fancy or anything.,3,1,
"Focus on your front and back balance, then slowly place your weight into the belts on your waist and feet.",3,1,
You can do it if you stay calm.,3,1,
"Even I did it, after all.",3,1,
All right.,3,1,
I feel like I've got it this time.,3,1,
"Lift me up, Armin.",3,1,
"Hey, Daz.",3,1,
Isn't he the one who said he was gonna slaughter all the Titans yesterday? I guess it's off to the fields for him tomorrow.,3,1,
"Yeah, we can't afford to feed the useless.",3,1,
Eren! There's no point worrying about it.,3,1,
You can just learn to do it tomorrow.,3,1,
I'm pathetic There's no way I can wipe them out like this You should just forget about that altogether.,3,1,
What?! I'm saying you should give up trying to be a soldier.,3,1,
Fighting isn't about simply throwing your life away.,3,1,
"Hey, now! I saw what happened that day! Do you really think you can just convince me to quit?! Still, it doesn't matter how determined you are.",3,1,
Huh? Why not?! Because you don't get to decide if you're fit to be a soldier or not.,3,1,
"- I'm not saying you should return - Let's go, Armin.",3,1,
- to the fields by yourself.,3,1,
- Y-Yeah.,3,1,
You don't need to worry.,3,1,
"Because when you go, I'll go with you.",3,1,
"So, umm What you're saying is that I can have that? The trick to posture control? Sorry, but I'm gifted.",3,1,
"All I can tell you is to ""feel"" it.",3,1,
"If anything, I'd like to hear your trick for staying sane after putting on such a pathetic spectacle.",3,1,
"C'mon, guys! I'm begging you here! But didn't you say yesterday, ""If you can't cut it here, you have to leave""? Or, wait.",3,1,
"Was it, ""If you don't got talent, you have to leave""? Which was it again? Please! I heard you're both really good at it! Bertholdt! Reiner! Sorry, but I don't think there are any tricks to just hanging there.",3,1,
"I can't think of any especially helpful advice, either.",3,1,
Oh I guess we'll just have to hope for the best tomorrow.,3,1,
"You two are, umm, from Shiganshina, aren't you? Yeah Then you know how terrifying the Titans are.",3,1,
"So why do you want to be soldiers? Unlike Eren, I didn't witness the Titan threat firsthand.",3,1,
It's just I decided I couldn't sit there and do nothing after the royal government forced people into that absolutely awful retrieval operation.,3,1,
Oh.,3,1,
Where are you two from? Reiner and I are from a mountain village on the southeast side of Wall Maria.,3,1,
Huh?! Wasn't that? Yeah.,3,1,
"Unlike the prosperous towns along the river, we didn't receive word right away.",3,1,
The Titans showed up well before the information did.,3,1,
It happened at dawn.,3,1,
"The livestock were acting up, and these strange rumblings kept getting louder and louder.",3,1,
"At some point, I realized they were footfalls of some sort And then, when I hurriedly opened the window After that l, umm, don't really remember.",3,1,
"Everyone was in such a panic Hey, now.",3,1,
What are you suddenly bringin' that up for? Sorry.,3,1,
"Basically, what I was trying to say is that you guys probably aren't like them.",3,1,
"""Them""? The others here who don't know the horror of the Titans.",3,1,
Hey! They're mostly here for show; to live up to society's expectations.,3,1,
You're seen as a coward if you choose production work when you turn twelve.,3,1,
Society has pushed them into becoming cadets.,3,1,
"That said, I'm no different than them.",3,1,
I chose to be a soldier in the hopes of joining the Military Police so I could work in safety of the interior.,3,1,
"If that doesn't work out, I might give up entirely.",3,1,
"I don't have any will to call my own, you see.",3,1,
"Cherishing your life is admirable too, you know.",3,1,
As for me I'm going to return to the hometown we lost.,3,1,
That's all I care about now.,3,1,
"I will do it, no matter what.",3,1,
